ref,citation_0,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,citation_7,citation_8,citation_9,citation_10,citation_11,citation_12
reference_77,4.146682338354026,3.8313895393690376,4.060563665709968,4.019120019933966,3.6517095608504104,3.1734816688755663,3.2854982579368497,3.1989719948063966,3.9620844447545824,3.916701317917181,3.7527357074881054,3.353312995556342,3.4673019184169984
reference_78,3.892043366101936,3.657259574532211,3.9168675447686243,3.81709289644936,3.4829011035128294,3.1469002079866093,2.7813027487130597,3.536516483545203,3.7992879590370845,3.7514682270571176,3.587063283982163,3.2629421547404687,3.2377592176188514
reference_79,4.054496938597515,3.8513823098942757,4.11438037582531,4.2385496952457125,3.667581060695459,3.6833196185348536,3.434294034066344,3.3502892464679066,4.01066456905662,3.9951081854691437,3.8316089200479273,3.55017588230661,3.49875061477623
reference_80,3.7562854272264334,3.6106623781748586,3.8454345581846745,3.930232644114782,3.2947807156028124,3.3610371857114445,3.486100835980797,3.533673992704076,3.7086312381459967,3.7135197344789357,3.5083238897662437,3.303278042475768,3.227137343350983
reference_81,4.059637783835164,3.739336313799884,4.058762572004773,4.05533581850988,3.5604118665627205,3.6592927857469206,3.734873944498971,3.6665867435421884,3.82860039995686,3.971344435534397,3.6435505550214073,3.2311053796987386,3.192005646219017
reference_82,4.021882909880929,3.8039472662969827,3.461662998441267,4.0514815977267995,3.310528470041569,2.880868508690259,3.178118899144721,2.7024043062256617,3.7444750276817684,3.8460803488005486,3.5318644570623636,3.3613026679446714,3.3400334218088146
reference_83,4.540257659805088,4.38347898568039,4.500947506055737,4.439246417688777,4.173394108746163,4.11295831894604,4.259359246811773,4.215837358397906,4.3845323325802745,4.405477017017121,4.258564625187993,4.009282429410208,4.085351135495376
reference_84,4.289058759847646,4.050264994119731,4.332935877758069,4.32710212779365,3.892473420152137,3.6404307910467035,3.9051744337483263,3.870120275114358,4.140451233702849,4.02387908890477,3.946607576346755,3.619977335822815,3.625294985911572
reference_85,3.90472493021455,3.7792461897324325,4.014911837754821,4.129317363825031,3.565702476037994,3.55618599927598,3.3963353529227507,2.989939136751955,3.8456551440060456,3.790305672624446,3.6407130887706667,3.295100293465862,3.3419984998464756
reference_86,4.213498221297001,4.063613689867449,4.273866607608246,4.303790176452772,3.8016907991288766,3.869761215776214,3.509674827061403,3.6001477723335893,4.090538417931494,4.135278949591883,3.9242692109419703,3.447539114838216,3.719754411811483
reference_87,4.689495584958048,4.489220242087984,4.756894489410066,4.514386823118089,4.230926796085055,4.2821332406423505,4.197179259091474,4.321087337286037,4.484468631524947,4.614509179466666,4.375320373310566,4.110532989472148,4.227543986958789
reference_88,4.209414583488937,4.039291868553161,4.239793343391419,3.9739226757910378,3.7639820899063006,3.7859482299848892,3.6954457419776925,3.914555617679187,3.512859587622104,3.9668186477747533,3.412999279642105,3.6049293689691404,3.601617627754212
reference_89,4.119649187276329,3.8254043554075245,2.9425940182376147,4.026387568430956,3.2482389703154144,3.6022843918542007,3.1866069020496375,3.168270562368105,3.7896521407166253,3.9050515543089896,3.608856274963975,3.4506442131184136,3.4916020914327266
reference_90,4.122773007709462,3.8173114014221197,3.9045576484436033,4.122797368257099,3.6700937682853145,3.6075013732872,3.7390128456359872,3.6429702612038,3.878257504672629,3.864201950417782,3.679104763885498,3.4682554523691276,3.5250584501586917
reference_91,3.9241833254430833,3.7499084705652237,4.033044504167747,3.9007591318942665,3.6218395026208463,3.5563590384358417,3.730437543919373,3.7165371871786617,3.7534629686087535,3.747117946965382,3.595663404469013,3.4278519462537305,3.3677640688259123
reference_92,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
reference_93,4.273124737620549,3.9989460981431004,4.209394167480468,4.265926110616646,3.8604685709233117,3.8482772701025505,3.7882311473536494,3.833421481593018,4.185762898205801,4.044640695994589,3.9729495855402943,3.6432760358398832,3.6927959187855715
reference_94,4.123926712534147,3.8436517336529685,4.076583046423221,4.077368168275186,3.682905072972939,3.639234012570409,3.696050602398406,3.7137246087637195,3.9943494135941346,3.906763130143976,3.8044331144844876,3.4245790435723005,3.4899247898680024
reference_95,3.421688296116715,3.2152456017024993,3.431946175574541,3.5239534355576363,3.152410170700119,3.012488469972974,3.1072782885197645,3.6854823919641753,3.33299015048872,3.2064254586282606,3.0729845531267164,3.4362166273327355,2.8291768280948637
reference_96,3.9588288031772807,3.6629549787522313,4.061099684568691,3.968122536543634,3.6147595174308376,3.576216431222353,3.3854252656848436,3.5279682434940494,3.9483697778081526,3.822846187979695,3.763807205699181,3.4180695845225957,3.446124983358955
reference_97,4.212556836480877,3.8932176687223286,4.182362856190886,4.378552271487155,3.921780819992445,3.9165584019768485,3.9388635263246647,3.8622112193540015,4.1295554947928315,4.124301004904707,3.9579432684223184,3.687898567814895,3.662629755796925
reference_98,4.1851568870450215,3.0573887662817003,4.1376204908329015,4.134534518553115,3.7846742930832615,3.2422711646719127,3.651035587713433,3.7751819228271533,4.043411340543436,4.007865037603678,3.8695881508492467,3.5244017669637495,3.545991331103897
reference_99,4.070752851364681,3.718560422271309,3.956953040679603,4.1336104694641085,3.639616396947598,3.676317541704418,3.5524632682651585,3.554566873418148,3.97761579446804,3.919666730049187,3.7582440264616843,3.435320677697282,3.407191551936306
reference_100,4.097172374852542,3.845853007911444,4.0731846582269675,4.173054568561234,3.6574897602496326,3.6833101441872644,3.722321962355376,3.668979624671634,4.0072833852917356,3.9063746279921143,3.7829109487831594,3.448442967713253,3.5354643221569066
reference_101,4.024093466238735,3.7493457422504424,3.6894083459999085,4.177246622234169,3.7101477744170537,3.62477871217215,3.738364703448487,3.6743095059345685,3.9526984767939832,3.882633845488088,3.750196005253887,3.315379469175453,3.34787411280899
reference_102,4.209605623869338,3.973015738382206,2.755758797295844,4.39034083265435,3.417079154277077,3.863905303380659,3.5974348879513705,3.3490650398777904,4.104298731552331,4.0444859983258015,3.86364291035414,3.647985260005702,3.585529193520504
reference_103,4.080623730850634,3.8492413980257503,3.675603057952913,4.209920743499798,3.5012637532993076,3.7099669611233974,3.328506462704074,3.320662082258698,3.975513414084085,3.941763423872023,3.765078342868524,3.3559322863134002,3.368939768745507
reference_104,3.9622688181009056,3.7396499786761974,3.7394339954471048,4.144103954088801,3.570834913419185,3.6280298358164944,3.645014769666823,3.628934726526046,3.9329345592832365,3.8550748921404554,3.7108854257695896,3.436617921160675,3.4046979059536913
reference_105,4.445438603810089,4.117701693513012,4.375505456377316,4.210567750744545,3.9731579693604346,3.9720823038845134,4.0942720253647815,4.034332427533607,4.334812983912556,4.313062705015194,4.167880122206807,3.748717101822075,3.7988714196230413
reference_106,4.178320385818162,3.909279421972518,3.06851371007913,4.2839056601333905,3.3485509399841,3.835734089477496,3.383351719423056,3.169111710302749,4.041817891447092,4.024006018105172,3.889322160202506,3.5203624081909273,3.6390136413027356
reference_107,4.0775307120497235,3.8636242260696885,4.058771914238691,4.05385823906101,3.618392766472781,3.541950209446404,3.555783540050984,3.4557572046831657,3.8991838222273003,3.9523910175496746,3.7207421314895153,3.4357952070238427,3.5110030421340466
reference_108,4.066849034701155,3.7724773654914667,3.7330055569111136,3.8963240251965914,3.59600487612625,3.6535203078293437,3.6969014949179364,3.5803134158445027,3.948711757468683,3.9099024084406904,3.74031489446704,3.204357256477419,3.1530226193386075
reference_109,4.041361600421058,3.7191719969791492,3.893274873445125,4.000488981727968,3.628765236088729,3.516558163148194,3.6926292660661315,3.450974163848623,3.887079528315394,3.817184501223834,3.665885761953968,3.302108760030704,3.098187531388464
reference_110,3.908689219868649,3.650600349483636,3.9217957792035976,4.028408876723841,3.5283813313530383,3.4917183709439525,3.565148695468274,3.4960590735387687,3.7678743929879435,3.6961390146145474,3.538176673467497,3.21714766007049,3.272307790313058
reference_111,3.950217095439427,3.6465889906056654,3.6978070527290545,4.041928199689509,3.494841599568796,3.460753738889678,3.532516607095081,3.389042108772116,3.7451655622078475,3.66955986968324,3.530025001852984,3.2318396836136727,3.115874817700086
